date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-12-16,721001,-0.0044402387,0.0220057779651996,0,0.0,1.0,0.001,-0.001,0.6729006007625488
2013-12-17,721001,-0.0056077964,-0.0036341651142195734,0,-0.0,0.0,0.0,-0.0,0.6729006007625488
2013-12-18,721001,0.0012425038,-0.02955880224154439,1,-0.02955880224154439,1.0,0.001,-0.03055880224154439,0.6523375643756296
2013-12-19,721001,-0.0010722798,0.018576385572935457,0,0.0,1.0,0.001,-0.001,0.651685226811254
2013-12-20,721001,-0.0013534821,-0.0012277472383224036,0,-0.0,0.0,0.0,-0.0,0.651685226811254
2013-12-23,721001,-0.0029047371,-0.0012292564547296333,0,-0.0,0.0,0.0,-0.0,0.651685226811254
2013-12-24,721001,-0.003601517,,0,,0.0,0.0,,
2013-12-25,721001,-0.0012711933,,0,,0.0,0.0,,
2013-12-26,721001,-0.0017845258,0.0024242436115062545,0,0.0,0.0,0.0,0.0,0.651685226811254
2013-12-27,721001,-0.005350314,,0,,0.0,0.0,,
2013-12-30,721001,-0.0066850567,,0,,0.0,0.0,,
2013-12-31,721001,-0.018642256,,0,,0.0,0.0,,
2016-01-04,721001,-0.0015109208,-0.7576071810269096,0,-0.0,0.0,0.0,-0.0,0.651685226811254
2016-01-05,721001,-0.003295023,,0,,0.0,0.0,,
2016-01-06,721001,-0.0012609515,,0,,0.0,0.0,,
2016-01-07,721001,-0.008775261,,0,,0.0,0.0,,
2016-01-08,721001,-0.0010043851,,0,,0.0,0.0,,
2016-01-11,721001,-0.0007816056,0.0025284463533586906,0,0.0,0.0,0.0,0.0,0.651685226811254
2016-01-12,721001,7.765445e-05,-0.0025284463533586377,1,-0.0025284463533586377,1.0,0.001,-0.0035284463533586377,0.6493857904491741
2016-01-13,721001,0.0027551106,0.0,1,0.0,0.0,0.0,0.0,0.6493857904491741
2016-01-15,721001,0.0015100308,0.0025284463533586906,1,0.0025284463533586906,0.0,0.0,0.0025284463533586906,0.6510277275829582
2016-01-18,721001,-0.0017851959,0.005037794029957081,0,0.0,1.0,0.001,-0.001,0.6503766998553753
2016-01-19,721001,-0.0035984253,0.0,0,0.0,0.0,0.0,0.0,0.6503766998553753
2016-01-20,721001,-0.0037423077,-0.02030526616074557,0,-0.0,0.0,0.0,-0.0,0.6503766998553753
2016-01-21,721001,-0.0061879624,-0.012903404835907841,0,-0.0,0.0,0.0,-0.0,0.6503766998553753
2016-01-22,721001,0.0014330971,-0.013072081567352888,1,-0.013072081567352888,1.0,0.001,-0.014072081567352887,0.6412245458855047
2016-01-25,721001,-0.010069376,0.04376502796675898,0,0.0,1.0,0.001,-0.001,0.6405833213396191
2016-01-26,721001,0.0026077942,-0.020356937068744085,1,-0.020356937068744085,1.0,0.001,-0.021356937068744086,0.6269024236584818
2016-01-27,721001,-0.028138565,0.020356937068744103,0,0.0,1.0,0.001,-0.001,0.6262755212348233
2016-01-28,721001,-0.0074666347,-0.03069294639940625,0,-0.0,0.0,0.0,-0.0,0.6262755212348233
2016-01-29,721001,0.0073163044,-0.02365419089788983,1,-0.02365419089788983,1.0,0.001,-0.02465419089788983,0.6108352049796245
2016-02-01,721001,-0.0024697215,0.021053409197832263,0,0.0,1.0,0.001,-0.001,0.6102243697746449
2016-02-02,721001,5.8854697e-05,-0.010471299867295366,1,-0.010471299867295366,1.0,0.001,-0.011471299867295365,0.6032243030426286
2016-02-03,721001,0.0010143043,-0.013245226750020567,1,-0.013245226750020567,0.0,0.0,-0.013245226750020567,0.5952344603677059
2016-02-04,721001,8.684474e-07,0.0,1,0.0,0.0,0.0,0.0,0.5952344603677059
2016-02-05,721001,0.00014159648,0.0,1,0.0,0.0,0.0,0.0,0.5952344603677059
2016-02-08,721001,-0.00031148488,0.0,0,0.0,1.0,0.001,-0.001,0.5946392259073382
2016-02-09,721001,0.00044997325,-0.013423020332140661,1,-0.013423020332140661,1.0,0.001,-0.01442302033214066,0.5860627322617883
2016-02-10,721001,-0.005447515,0.01342302033214055,0,0.0,1.0,0.001,-0.001,0.5854766695295265
2016-02-11,721001,-7.479851e-05,-0.013423020332140661,0,-0.0,0.0,0.0,-0.0,0.5854766695295265
2016-02-12,721001,-0.0028663708,0.0,0,0.0,0.0,0.0,0.0,0.5854766695295265
